"","neurons.1","neurons.X1_1","neurons.X4","neurons.X6","neurons.X12","neurons.X13","neurons.X14","neurons.X15","neurons.X16","neurons.X17","neurons.1.1","neurons.2","neurons.3","neurons.4","net.result"
"1",1,0,0.904471275043121,0.118729911366514,0.263030706130141,0.417294365772823,0.351224174693037,0.740672622175512,0.131830477908025,0.923149728810904,1,0.0196071298252888,0.933106300429868,0.29839652457282,0.912476677617955
"2",1,0.104347826086957,0.757313918004511,0.458556540372066,0,0.128201265441398,0.064480552900522,0.345769837099317,1,1,1,0.247069114125851,0.648509827462369,0.809591743059072,0.108984224787427
"3",1,0.11304347826087,0.830519437441953,0.308756209213987,0.0196873960758231,0,0.30821263142416,0.660535995796111,0,0.904902537717785,1,0.0556460653267868,0.914731012487606,0.715457498254468,0.601779713138285
"4",1,0.121739130434783,0.914886559639114,0.149897730593163,0.0684624764438532,0.335944561614944,0.325490772737299,0.718076720966894,0.00288548241659152,0.905510139757579,1,0.020961662799921,0.913345406846367,0.343066956015692,0.870706972911755
"5",1,0.147826086956522,0.746384503117951,0.124866075776761,0.217980268262942,0.834287435974691,0.00441144033526946,0.430898581187599,0.633994589720469,0.969438619440715,1,0.0356495112057516,0.585379721702251,0.148892428394155,0.748182204611571
"6",1,0.165217391304348,0.785674008226085,0.308658809778904,0.546901673872076,0.74751431153962,0.327696492904933,0.373357856016816,0.245897204688909,0,1,0.00879020010212522,0.766027833883513,0.194709358785948,0.877644105921807
"7",1,0.173913043478261,0.846606740082261,0.327651699620143,0.773306728744042,0.82329014763483,0.525108447908242,0.0606936416184971,0.427772768259693,0.939621483059108,1,0.00201830119583156,0.137426204541242,0.294117920133974,0.407638560098735
"8",1,0.182608695652174,0.924588695767547,0.231908054933281,0.700631858995677,0.846188611027417,0.517682523343872,0.151339989490278,0.312263300270514,0.925184785717799,1,0.00190502197264414,0.211384652677437,0.208267175231815,0.508568819165709
"9",1,0.191304347826087,0.975222236964309,0.171910002921983,0.653164837601153,0.822536908707442,0.597603117417837,0.0725170782974251,0.427141568981064,0.928478772188406,1,0.00169669740235659,0.159537325492764,0.236732401086425,0.457194595497799
"10",1,0.2,0.961539737296006,0.209311385993961,0.629752799024498,0.890027116601386,0.603558561870451,0.0199684708355229,0.398737601442741,0.927908518999634,1,0.00107380619239987,0.0918851732010378,0.219189161952401,0.423378302744802
"11",1,0.208695652173913,0.874071248507364,0.289665919937665,0.53464139230684,0.841518529677613,0.394603337989854,0.0659485023646873,0.441749323715059,0.929326864390877,1,0.00317327636047332,0.114300720004846,0.256541315545204,0.413139458102428
"12",1,0.217391304347826,0.862511609393658,0.322392130125645,0.612149429109855,0.85402229587225,0.540107345048158,0.130320546505518,0.289720468890893,0.91489198894474,1,0.00128911236285272,0.144497990112282,0.231439885782303,0.450874649528454
"13",1,0.226086956521739,0.726681703595595,0.369338657835785,0.707416029265048,0.797529376318167,0.582457172266745,0.0838150289017341,0.240216411181244,0.911102446987405,1,0.00117312334346067,0.128255381213354,0.321754625838546,0.386110656802963
"14",1,0.234782608695652,0.799406262438636,0.372358040323366,0.608424786609023,0.719343175655317,0.53937210499228,0.122963741460851,0.301623083859333,0.919649868185884,1,0.00203881777006687,0.170038912782565,0.35283730245318,0.394222708173782
"15",1,0.243478260869565,0.772936844898501,0.384922567449109,0.652832280235007,0.779300994275384,0.583412984339387,0.251445086705202,0.308746618575293,0.919925885304411,1,0.00153332212184644,0.29826449899158,0.262258174949967,0.534741326059125
"16",1,0.252173913043478,0.78600570518774,0.392422323950521,0.820618556701031,0.826905694486291,0.734431291816778,0.115344193378875,0.340757439134355,0.920025178591274,1,0.000669109733072808,0.167510273919554,0.283069022575377,0.436160938509099
"17",1,0.260869565217391,0.650436181504577,0.432356092334664,0.719853674758896,0.878276589334136,0.533196088522903,0.0433526011560694,0.259783588818756,0.913366151738361,1,0.00101052787636986,0.0844282581768172,0.295646327433331,0.372705618422581
"18",1,0.269565217391304,0.740828579010216,0.466738092919061,0.726637845028267,0.935824043386562,0.60797000220572,0.0974776668418287,0.30477908025248,0.921140178436413,1,0.000614978599469447,0.0968745685263638,0.228947048347675,0.421486455773886
"19",1,0.278260869565217,0.345396046172217,0.61566182916139,0.758762886597938,0.799186501958421,0.40622013087273,0.0609563846558066,0.293417493237151,0.913714133716174,1,0.00208907183898656,0.095068561374128,0.454045113285391,0.283506773942743
"20",1,0.28695652173913,0.278044978108001,0.755430018505892,0.725174592617226,0.849352214522447,0.350415410631571,0.0470310036784025,0.310459873760144,0,1,0.00272623559429654,0.18039756186823,0.415558812737323,0.362653060316805
"21",1,0.295652173913043,0.166180177789571,0.804616733222947,0.595521560802572,0.905694486291051,0.429453716638483,0.081713084603258,0.195130748422002,0.907780221141636,1,0.000694443412989609,0.0430581631992771,0.436958751304447,0.260901878023112
